RestaurantID,CategoryID,TimeID,PaymentMethod,TransportMode,TotalRevenue,TotalDeliveryTime,NumberOfDeliveries
4,1,349,Satispay,Scooter,30.3,12,2
0,4,143,Cash,Scooter,67.9,24,6
4,1,699,Bancomat,Car,107.5,31,9
2,1,958,Satispay,Bike,47.7,17,8
4,1,920,Satispay,Car,88.7,34,11
0,4,583,Bancomat,Car,189.1,51,10
3,1,969,Cash,Bike,17.1,8,3
4,1,156,Cash,Car,188.3,45,31
3,1,989,Cash,Car,172.0,46,18
0,4,205,Cash,Bike,119.4,32,11
3,1,806,Bancomat,Car,29.7,10,5
2,1,494,Cash,Scooter,32.5,14,4
1,0,898,Bancomat,Car,153.5,37,17
0,4,564,Satispay,Scooter,187.5,44,30
3,1,628,Bancomat,Bike,181.8,63,26
4,1,373,Satispay,Scooter,151.3,51,11
2,1,118,Cash,Car,134.6,34,17
1,0,536,Credit card,Car,62.5,22,5
3,1,212,Satispay,Bike,112.3,33,18
0,4,819,Bancomat,Car,131.6,44,17
4,1,145,Satispay,Car,115.1,33,19
0,4,195,Cash,Scooter,89.3,26,7
1,0,694,Bancomat,Scooter,80.2,27,14
0,4,235,Credit card,Bike,179.4,49,12
3,1,476,Satispay,Bike,102.8,36,9
3,1,391,Cash,Car,168.7,45,12
4,1,145,Bancomat,Bike,62.0,18,10
2,1,859,Cash,Bike,98.4,25,14
4,1,761,Satispay,Car,176.0,52,21
0,4,535,Satispay,Scooter,36.7,15,2
4,1,851,Cash,Car,189.8,62,23
3,1,676,Bancomat,Bike,47.4,19,7
3,1,872,Cash,Scooter,67.5,25,5
3,1,832,Bancomat,Scooter,42.4,18,3
2,1,176,Satispay,Car,43.4,19,3
2,1,275,Cash,Scooter,171.4,61,18
0,4,434,Bancomat,Bike,131.8,36,20
1,0,242,Satispay,Bike,136.4,46,19
2,1,757,Cash,Car,147.7,42,12
4,1,360,Credit card,Car,150.1,45,8
2,1,627,Cash,Bike,35.3,13,2
0,4,791,Cash,Scooter,113.5,35,11
3,1,946,Satispay,Bike,140.5,42,24
3,1,285,Cash,Car,149.6,39,18
4,1,539,Satispay,Scooter,185.2,58,17
3,1,543,Credit card,Car,12.5,9,3
4,1,834,Satispay,Bike,37.5,14,6
2,1,744,Credit card,Car,179.4,46,22
4,1,307,Satispay,Bike,165.0,38,18
0,4,704,Cash,Scooter,109.8,38,9
4,1,929,Cash,Scooter,48.5,18,8
4,1,393,Cash,Scooter,10.3,8,2
3,1,268,Cash,Scooter,171.0,40,10
2,1,440,Cash,Car,59.6,17,5
4,1,356,Cash,Scooter,168.6,55,19
2,1,625,Satispay,Bike,29.3,13,2
3,1,539,Cash,Car,92.7,34,10
4,1,351,Credit card,Car,152.5,50,13
0,4,49,Satispay,Scooter,170.0,45,21
0,4,582,Bancomat,Scooter,11.0,8,1
4,1,537,Credit card,Car,68.0,23,7
3,1,466,Bancomat,Scooter,107.7,38,14
3,1,688,Bancomat,Bike,185.0,54,22
2,1,340,Credit card,Car,64.2,18,8
4,1,592,Credit card,Bike,62.9,23,4
4,1,155,Satispay,Scooter,162.4,52,27
2,1,255,Satispay,Bike,78.1,24,6
2,1,322,Cash,Scooter,92.9,24,10
2,1,92,Satispay,Bike,51.3,22,6
1,0,488,Satispay,Car,193.5,49,24
3,1,946,Credit card,Car,153.7,56,19
2,1,356,Satispay,Car,171.1,43,18
0,4,271,Bancomat,Scooter,21.1,12,2
4,1,976,Credit card,Car,38.4,14,5
0,4,658,Credit card,Car,10.3,7,1
4,1,831,Satispay,Bike,29.3,14,3
1,0,831,Bancomat,Scooter,165.5,58,9
3,1,993,Satispay,Bike,89.7,33,9
0,4,954,Cash,Scooter,32.7,15,4
1,0,25,Cash,Car,118.3,40,13
2,1,407,Satispay,Scooter,26.1,10,5
1,0,797,Bancomat,Scooter,124.3,30,17
4,1,104,Satispay,Car,128.8,38,7
0,4,473,Satispay,Bike,33.0,15,3
1,0,321,Credit card,Car,107.9,30,18
3,1,330,Bancomat,Scooter,49.6,20,5
0,4,661,Cash,Scooter,192.2,48,13
3,1,294,Satispay,Bike,155.9,43,9
3,1,638,Satispay,Bike,78.1,22,13
1,0,409,Bancomat,Bike,41.6,18,4
1,0,258,Cash,Car,20.4,11,3
